state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
15.0,64.0,408,1172.0,0,0,0.0,113.8,97.0,19.35,192.3,97.0,16.35,214.9,89.0,9.67,10.4,1.0,2.81,3
39.0,127.0,510,3240.0,0,0,0.0,211.1,62.0,35.89,235.2,143.0,19.99,227.5,66.0,10.24,15.6,3.0,4.21,2
23.0,132.0,510,2496.0,0,1,33.0,157.9,84.0,26.84,163.9,109.0,13.93,215.4,87.0,9.69,11.5,3.0,3.11,3
19.0,122.0,408,2286.0,0,1,29.0,195.4,83.0,33.22,268.2,93.0,22.8,168.0,95.0,7.56,8.4,6.0,2.27,3
40.0,101.0,415,948.0,0,0,0.0,158.4,92.0,26.93,188.0,117.0,15.98,219.7,125.0,9.89,13.5,4.0,3.65,4
48.0,154.0,510,3172.0,0,0,0.0,94.5,97.0,16.07,178.2,127.0,15.15,230.2,99.0,10.36,9.2,3.0,2.48,2
8.0,51.0,510,4137.0,0,0,0.0,181.5,108.0,30.86,196.9,87.0,16.74,187.2,119.0,8.42,10.3,2.0,2.78,1
44.0,83.0,510,741.0,0,1,33.0,228.2,85.0,38.79,249.2,114.0,21.18,93.5,89.0,4.21,10.2,7.0,2.75,0
9.0,36.0,510,4330.0,0,0,0.0,195.5,77.0,33.24,156.3,108.0,13.29,217.8,133.0,9.8,7.3,2.0,1.97,1
37.0,133.0,415,2616.0,0,0,0.0,143.8,71.0,24.45,184.0,131.0,15.64,275.5,132.0,12.4,12.9,4.0,3.48,3
47.0,60.0,415,2061.0,1,0,0.0,205.9,97.0,35.0,277.4,117.0,23.58,202.0,139.0,9.09,11.0,2.0,2.97,0
